uniq_id,title,brand,description,price,categories,images,manufacturer,package_dimensions,country_of_origin,material,color
PROD-1001,OakStone Plastic Wardrobe,OakStone,A stylish wardrobe made from premium plastic in black color. Perfect for modern homes.,23588.58,Wardrobe,https://picsum.photos/200?random=1,CraftedCo,115x186x62 cm,Germany,Plastic,Black
PROD-1002,OakStone Plastic Wardrobe,OakStone,A stylish wardrobe made from premium plastic in blue color. Perfect for modern homes.,8945.16,Wardrobe,https://picsum.photos/200?random=2,FurniMakers Ltd.,168x41x160 cm,Germany,Plastic,Blue
PROD-1003,ComfyCasa Wood Wardrobe,ComfyCasa,A stylish wardrobe made from premium wood in beige color. Perfect for modern homes.,17321.49,Wardrobe,https://picsum.photos/200?random=3,UrbanWorks,94x134x152 cm,Italy,Wood,Beige
PROD-1004,HomeLuxe Wood Wardrobe,HomeLuxe,A stylish wardrobe made from premium wood in white color. Perfect for modern homes.,21140.06,Wardrobe,https://picsum.photos/200?random=4,CasaFurnish,64x66x153 cm,Italy,Wood,White
PROD-1005,FurniCraft Glass Sofa,FurniCraft,A stylish sofa made from premium glass in grey color. Perfect for modern homes.,14272.43,Sofa,https://picsum.photos/200?random=5,FurniMakers Ltd.,30x121x183 cm,India,Glass,Grey
PROD-1006,FurniCraft Wood Wardrobe,FurniCraft,A stylish wardrobe made from premium wood in black color. Perfect for modern homes.,4283.72,Wardrobe,https://picsum.photos/200?random=6,CasaFurnish,151x182x101 cm,Italy,Wood,Black
PROD-1007,OakStone Metal Chair,OakStone,A stylish chair made from premium metal in black color. Perfect for modern homes.,24476.29,Chair,https://picsum.photos/200?random=7,EliteWood,175x98x186 cm,Vietnam,Metal,Black
PROD-1008,UrbanLoom Metal Dining Set,UrbanLoom,A stylish dining set made from premium metal in white color. Perfect for modern homes.,22530.58,Dining Set,https://picsum.photos/200?random=8,CasaFurnish,63x82x136 cm,Vietnam,Metal,White
PROD-1009,FurniCraft Fabric Bed,FurniCraft,A stylish bed made from premium fabric in green color. Perfect for modern homes.,9367.01,Bed,https://picsum.photos/200?random=9,FurniMakers Ltd.,166x171x177 cm,Vietnam,Fabric,Green
PROD-1010,FurniCraft Glass Bed,FurniCraft,A stylish bed made from premium glass in grey color. Perfect for modern homes.,16506.13,Bed,https://picsum.photos/200?random=10,FurniMakers Ltd.,136x181x81 cm,Germany,Glass,Grey
PROD-1011,HomeLuxe Metal Wardrobe,HomeLuxe,A stylish wardrobe made from premium metal in grey color. Perfect for modern homes.,14428.53,Wardrobe,https://picsum.photos/200?random=11,EliteWood,34x52x122 cm,China,Metal,Grey
PROD-1012,ComfyCasa Leather Wardrobe,ComfyCasa,A stylish wardrobe made from premium leather in brown color. Perfect for modern homes.,14636.45,Wardrobe,https://picsum.photos/200?random=12,FurniMakers Ltd.,149x46x200 cm,Germany,Leather,Brown
PROD-1013,FurniCraft Fabric Table,FurniCraft,A stylish table made from premium fabric in blue color. Perfect for modern homes.,21900.0,Table,https://picsum.photos/200?random=13,UrbanWorks,130x160x73 cm,China,Fabric,Blue
PROD-1014,OakStone Wood Bookshelf,OakStone,A stylish bookshelf made from premium wood in green color. Perfect for modern homes.,29301.5,Bookshelf,https://picsum.photos/200?random=14,FurniMakers Ltd.,98x78x73 cm,China,Wood,Green
PROD-1015,UrbanLoom Wood Bed,UrbanLoom,A stylish bed made from premium wood in blue color. Perfect for modern homes.,29271.02,Bed,https://picsum.photos/200?random=15,EliteWood,58x138x169 cm,Germany,Wood,Blue
PROD-1016,OakStone Plastic Sofa,OakStone,A stylish sofa made from premium plastic in grey color. Perfect for modern homes.,10553.32,Sofa,https://picsum.photos/200?random=16,FurniMakers Ltd.,31x181x40 cm,Vietnam,Plastic,Grey
PROD-1017,OakStone Plastic Table,OakStone,A stylish table made from premium plastic in black color. Perfect for modern homes.,9255.56,Table,https://picsum.photos/200?random=17,FurniMakers Ltd.,180x190x162 cm,Germany,Plastic,Black
PROD-1018,FurniCraft Wood Wardrobe,FurniCraft,A stylish wardrobe made from premium wood in brown color. Perfect for modern homes.,23287.0,Wardrobe,https://picsum.photos/200?random=18,CasaFurnish,193x37x117 cm,Vietnam,Wood,Brown
PROD-1019,UrbanLoom Metal Chair,UrbanLoom,A stylish chair made from premium metal in white color. Perfect for modern homes.,13364.07,Chair,https://picsum.photos/200?random=19,CraftedCo,172x112x154 cm,Italy,Metal,White
PROD-1020,ComfyCasa Wood Table,ComfyCasa,A stylish table made from premium wood in white color. Perfect for modern homes.,28076.97,Table,https://picsum.photos/200?random=20,FurniMakers Ltd.,108x45x125 cm,Italy,Wood,White
PROD-1021,ComfyCasa Plastic Bed,ComfyCasa,A stylish bed made from premium plastic in white color. Perfect for modern homes.,24575.89,Bed,https://picsum.photos/200?random=21,CasaFurnish,68x165x129 cm,Italy,Plastic,White
PROD-1022,FurniCraft Glass Chair,FurniCraft,A stylish chair made from premium glass in grey color. Perfect for modern homes.,19301.9,Chair,https://picsum.photos/200?random=22,EliteWood,134x67x87 cm,Vietnam,Glass,Grey
PROD-1023,ComfyCasa Wood Bed,ComfyCasa,A stylish bed made from premium wood in blue color. Perfect for modern homes.,10572.16,Bed,https://picsum.photos/200?random=23,EliteWood,34x53x114 cm,China,Wood,Blue
PROD-1024,OakStone Plastic Wardrobe,OakStone,A stylish wardrobe made from premium plastic in grey color. Perfect for modern homes.,12332.72,Wardrobe,https://picsum.photos/200?random=24,CraftedCo,93x188x167 cm,Italy,Plastic,Grey
PROD-1025,HomeLuxe Leather Table,HomeLuxe,A stylish table made from premium leather in beige color. Perfect for modern homes.,23788.66,Table,https://picsum.photos/200?random=25,EliteWood,183x131x107 cm,Germany,Leather,Beige
PROD-1026,UrbanLoom Glass Dining Set,UrbanLoom,A stylish dining set made from premium glass in grey color. Perfect for modern homes.,3069.18,Dining Set,https://picsum.photos/200?random=26,CraftedCo,85x199x189 cm,Germany,Glass,Grey
PROD-1027,HomeLuxe Wood Dining Set,HomeLuxe,A stylish dining set made from premium wood in brown color. Perfect for modern homes.,6303.75,Dining Set,https://picsum.photos/200?random=27,CasaFurnish,56x55x32 cm,China,Wood,Brown
PROD-1028,FurniCraft Fabric Bookshelf,FurniCraft,A stylish bookshelf made from premium fabric in brown color. Perfect for modern homes.,27936.86,Bookshelf,https://picsum.photos/200?random=28,CraftedCo,123x141x59 cm,India,Fabric,Brown
PROD-1029,HomeLuxe Leather Bookshelf,HomeLuxe,A stylish bookshelf made from premium leather in blue color. Perfect for modern homes.,23627.46,Bookshelf,https://picsum.photos/200?random=29,CasaFurnish,176x95x107 cm,India,Leather,Blue
PROD-1030,HomeLuxe Fabric Chair,HomeLuxe,A stylish chair made from premium fabric in beige color. Perfect for modern homes.,17627.81,Chair,https://picsum.photos/200?random=30,UrbanWorks,107x50x98 cm,China,Fabric,Beige
PROD-1031,HomeLuxe Wood Chair,HomeLuxe,A stylish chair made from premium wood in green color. Perfect for modern homes.,8929.43,Chair,https://picsum.photos/200?random=31,UrbanWorks,42x57x89 cm,China,Wood,Green
PROD-1032,ComfyCasa Wood Table,ComfyCasa,A stylish table made from premium wood in green color. Perfect for modern homes.,18483.75,Table,https://picsum.photos/200?random=32,CasaFurnish,39x162x171 cm,Germany,Wood,Green
PROD-1033,FurniCraft Wood Bed,FurniCraft,A stylish bed made from premium wood in black color. Perfect for modern homes.,18215.8,Bed,https://picsum.photos/200?random=33,CraftedCo,46x139x187 cm,India,Wood,Black
PROD-1034,ComfyCasa Plastic Dining Set,ComfyCasa,A stylish dining set made from premium plastic in grey color. Perfect for modern homes.,8871.64,Dining Set,https://picsum.photos/200?random=34,UrbanWorks,198x81x66 cm,Vietnam,Plastic,Grey
PROD-1035,HomeLuxe Metal Dining Set,HomeLuxe,A stylish dining set made from premium metal in grey color. Perfect for modern homes.,27460.72,Dining Set,https://picsum.photos/200?random=35,CasaFurnish,120x41x40 cm,Germany,Metal,Grey
PROD-1036,FurniCraft Plastic Sofa,FurniCraft,A stylish sofa made from premium plastic in brown color. Perfect for modern homes.,7271.75,Sofa,https://picsum.photos/200?random=36,CasaFurnish,136x146x153 cm,Germany,Plastic,Brown
PROD-1037,ComfyCasa Leather Wardrobe,ComfyCasa,A stylish wardrobe made from premium leather in black color. Perfect for modern homes.,22151.04,Wardrobe,https://picsum.photos/200?random=37,EliteWood,97x32x31 cm,Vietnam,Leather,Black
PROD-1038,FurniCraft Fabric Bookshelf,FurniCraft,A stylish bookshelf made from premium fabric in green color. Perfect for modern homes.,6024.69,Bookshelf,https://picsum.photos/200?random=38,UrbanWorks,132x34x127 cm,Germany,Fabric,Green
PROD-1039,FurniCraft Leather Sofa,FurniCraft,A stylish sofa made from premium leather in grey color. Perfect for modern homes.,5489.55,Sofa,https://picsum.photos/200?random=39,CasaFurnish,57x155x171 cm,Italy,Leather,Grey
PROD-1040,ComfyCasa Fabric Bookshelf,ComfyCasa,A stylish bookshelf made from premium fabric in blue color. Perfect for modern homes.,8692.23,Bookshelf,https://picsum.photos/200?random=40,CraftedCo,89x59x86 cm,India,Fabric,Blue
PROD-1041,FurniCraft Glass Dining Set,FurniCraft,A stylish dining set made from premium glass in white color. Perfect for modern homes.,22099.54,Dining Set,https://picsum.photos/200?random=41,CraftedCo,186x53x113 cm,Vietnam,Glass,White
PROD-1042,HomeLuxe Fabric Table,HomeLuxe,A stylish table made from premium fabric in blue color. Perfect for modern homes.,28703.05,Table,https://picsum.photos/200?random=42,CraftedCo,174x87x121 cm,Italy,Fabric,Blue
PROD-1043,UrbanLoom Glass Wardrobe,UrbanLoom,A stylish wardrobe made from premium glass in blue color. Perfect for modern homes.,14501.27,Wardrobe,https://picsum.photos/200?random=43,CraftedCo,73x172x167 cm,Italy,Glass,Blue
PROD-1044,FurniCraft Leather Chair,FurniCraft,A stylish chair made from premium leather in white color. Perfect for modern homes.,13662.48,Chair,https://picsum.photos/200?random=44,CasaFurnish,67x37x124 cm,Germany,Leather,White
PROD-1045,FurniCraft Wood Wardrobe,FurniCraft,A stylish wardrobe made from premium wood in white color. Perfect for modern homes.,8209.05,Wardrobe,https://picsum.photos/200?random=45,CraftedCo,86x174x44 cm,Italy,Wood,White
PROD-1046,UrbanLoom Fabric Bookshelf,UrbanLoom,A stylish bookshelf made from premium fabric in black color. Perfect for modern homes.,16708.02,Bookshelf,https://picsum.photos/200?random=46,CraftedCo,93x194x134 cm,Germany,Fabric,Black
PROD-1047,UrbanLoom Metal Table,UrbanLoom,A stylish table made from premium metal in beige color. Perfect for modern homes.,8247.16,Table,https://picsum.photos/200?random=47,CasaFurnish,143x162x109 cm,China,Metal,Beige
PROD-1048,OakStone Fabric Wardrobe,OakStone,A stylish wardrobe made from premium fabric in green color. Perfect for modern homes.,12875.57,Wardrobe,https://picsum.photos/200?random=48,FurniMakers Ltd.,196x69x100 cm,India,Fabric,Green
PROD-1049,ComfyCasa Wood Chair,ComfyCasa,A stylish chair made from premium wood in grey color. Perfect for modern homes.,13185.4,Chair,https://picsum.photos/200?random=49,CasaFurnish,44x175x125 cm,Italy,Wood,Grey
PROD-1050,UrbanLoom Wood Bed,UrbanLoom,A stylish bed made from premium wood in black color. Perfect for modern homes.,28710.75,Bed,https://picsum.photos/200?random=50,UrbanWorks,93x195x169 cm,India,Wood,Black
